pattern,unique_membership_queries,membership_queries,equivalence_queries,precision,recall,f1
(((b|ε)((b*)b))|ε),33,33,1,0,0.0,0
((a((a|ε)(a|ε)))|ε),33,33,1,0,0.0,0
((a((a|ε)(b|ε)))|ε),33,33,1,0,0,0
((a((a|ε)(a*)))|ε),33,33,1,0,0.0,0
((a((a|ε)(b*)))|ε),33,33,1,0,0,0
((a((b|ε)(a|ε)))|ε),33,33,1,0,0,0
((a((b|ε)(b|ε)))|ε),33,33,1,0,0,0
((a((b|ε)(a*)))|ε),33,33,1,0,0,0
((a((b|ε)(b*)))|ε),33,33,1,0,0.0,0
((a((a*)(a|ε)))|ε),33,33,1,0,0.0,0
((a((a*)(b|ε)))|ε),33,33,1,0,0,0
((a((a*)(a*)))|ε),76,76,2,1.0,1.0,1.0
((a((a*)(b*)))|ε),76,76,2,1.0,1.0,1.0
((a((b*)(a|ε)))|ε),33,33,1,0,0.0,0
((a((b*)(b|ε)))|ε),33,33,1,0,0.0,0
((a((b*)(a*)))|ε),95,95,2,1.0,1.0,1.0
((a((b*)(b*)))|ε),76,76,2,0,0,0
((b((a|ε)(a|ε)))|ε),33,33,1,0,0,0
((b((a|ε)(b|ε)))|ε),33,33,1,0,0,0
((b((a|ε)(a*)))|ε),33,33,1,0,0.0,0
((b((a|ε)(b*)))|ε),33,33,1,0,0,0
((b((b|ε)(a|ε)))|ε),33,33,1,0,0,0
((b((b|ε)(b|ε)))|ε),33,33,1,0,0,0
((b((b|ε)(a*)))|ε),33,33,1,0,0,0
((b((b|ε)(b*)))|ε),33,33,1,0,0.0,0
((b((a*)(a|ε)))|ε),33,33,1,0,0.0,0
((b((a*)(b|ε)))|ε),33,33,1,0,0.0,0
((b((a*)(a*)))|ε),80,80,2,1.0,1.0,1.0
((b((a*)(b*)))|ε),145,145,3,1.0,1.0,1.0
((b((b*)(a|ε)))|ε),33,33,1,0,0,0
((b((b*)(b|ε)))|ε),33,33,1,0,0.0,0
((b((b*)(a*)))|ε),84,84,2,1.0,1.0,1.0
((b((b*)(b*)))|ε),73,73,2,1.0,1.0,1.0
(((a*)((a|ε)a))|ε),33,33,1,0,0.0,0
(((a*)((a|ε)b))|ε),33,33,1,0,0,0
(((a*)((b|ε)a))|ε),33,33,1,0,0.0,0
(((a*)((b|ε)b))|ε),33,33,1,0,0,0
(((a*)(a(a|ε)))|ε),33,33,1,0,0.0,0
(((a*)(a(b|ε)))|ε),33,33,1,0,0,0
(((a*)(a(a*)))|ε),76,76,2,1.0,1.0,1.0
(((a*)(a(b*)))|ε),76,76,2,1.0,1.0,1.0
(((a*)(b(a|ε)))|ε),33,33,1,0,0.0,0
(((a*)(b(b|ε)))|ε),33,33,1,0,0,0
(((a*)(b(a*)))|ε),80,80,2,1.0,1.0,1.0
(((a*)(b(b*)))|ε),73,73,2,1.0,1.0,1.0
(((a*)((a*)a))|ε),76,76,2,1.0,1.0,1.0
(((a*)((a*)b))|ε),87,87,2,0,0,0
(((a*)((b*)a))|ε),95,95,2,1.0,1.0,1.0
(((a*)((b*)b))|ε),73,73,2,1.0,1.0,1.0
(((b*)((a|ε)a))|ε),147,147,3,1.0,1.0,1.0
(((b*)((a|ε)b))|ε),33,33,1,0,0,0
(((b*)((b|ε)a))|ε),33,33,1,0,0,0
(((b*)((b|ε)b))|ε),33,33,1,0,0.0,0
(((b*)(a(a|ε)))|ε),147,147,3,1.0,1.0,1.0
(((b*)(a(b|ε)))|ε),33,33,1,0,0,0
(((b*)(a(a*)))|ε),76,76,2,1.0,1.0,1.0
(((b*)(a(b*)))|ε),76,76,2,1.0,1.0,1.0
(((b*)(b(a|ε)))|ε),33,33,1,0,0,0
(((b*)(b(b|ε)))|ε),33,33,1,0,0.0,0
(((b*)(b(a*)))|ε),84,84,2,1.0,1.0,1.0
(((b*)(b(b*)))|ε),73,73,2,1.0,1.0,1.0
(((b*)((a*)a))|ε),76,76,2,1.0,1.0,1.0
(((b*)((a*)b))|ε),90,90,2,1.0,1.0,1.0
(((b*)((b*)a))|ε),76,76,2,0,0,0
(((b*)((b*)b))|ε),73,73,2,1.0,1.0,1.0
(a|(a|(a|(a*)))),35,35,1,1.0,1.0,1.0
(a|(a|(a|(b*)))),76,76,2,0,0.0,0
(a|(a|(b|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(a|(a|(b|(b*)))),76,76,2,0,0.0,0
(a|(a|(aa))),80,80,2,0,0,0
(a|(a|(ab))),95,95,2,0,0,0
(a|(a|(ba))),76,76,2,0,0,0
(a|(a|(bb))),76,76,2,0,0,0
(a|(b|(a|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(a|(b|(a|(b*)))),76,76,2,0,0.0,0
(a|(b|(b|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(a|(b|(b|(b*)))),76,76,2,0,0.0,0
(a|(b|(aa))),80,80,2,0,0,0
(a|(b|(ab))),96,96,2,0,0,0
(a|(b|(ba))),77,77,2,0,0,0
(a|(b|(bb))),96,96,2,0,0,0
(a|((a|ε)(a|ε))),80,80,2,0,0,0
(a|((a|ε)(b|ε))),95,95,2,0,0,0
(a|((a|ε)(a*))),76,76,2,1.0,1.0,1.0
(a|((a|ε)(b*))),76,76,2,0,0,0
(a|((b|ε)(a|ε))),76,76,2,0,0,0
(a|((b|ε)(b|ε))),76,76,2,0,0,0
(a|((b|ε)(a*))),77,77,2,1.0,1.0,1.0
(a|((b|ε)(b*))),96,96,2,1.0,1.0,1.0
(a|((a*)(a|ε))),76,76,2,1.0,1.0,1.0
(a|((a*)(b|ε))),102,102,2,0,0,0
(a|((a*)(a*))),35,35,1,1.0,1.0,1.0
(a|((a*)(b*))),76,76,2,1.0,1.0,1.0
(a|((b*)(a|ε))),76,76,2,0,0,0
(a|((b*)(b|ε))),96,96,2,1.0,1.0,1.0
(a|((b*)(a*))),76,76,2,1.0,1.0,1.0
(a|((b*)(b*))),76,76,2,0,0.0,0
(a|((aa)*)),35,35,1,0.0,0,0
(a|((ab)*)),35,35,1,0.0,0.0,0
(a|((ba)*)),80,80,2,0,0,0
(a|((bb)*)),103,103,2,0,0.0,0
(b|(a|(a|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(b|(a|(a|(b*)))),76,76,2,0,0.0,0
(b|(a|(b|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(b|(a|(b|(b*)))),76,76,2,0,0.0,0
(b|(a|(aa))),80,80,2,0,0,0
(b|(a|(ab))),96,96,2,0,0,0
(b|(a|(ba))),77,77,2,0,0,0
(b|(a|(bb))),96,96,2,0,0,0
(b|(b|(a|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(b|(b|(a|(b*)))),76,76,2,0,0.0,0
(b|(b|(b|(a*)))),76,76,2,0.3333333333333333,1.0,0.5
(b|(b|(b|(b*)))),35,35,1,1.0,1.0,1.0
(b|(b|(aa))),110,110,2,0,0,0
(b|(b|(ab))),110,110,2,0,0,0
(b|(b|(ba))),80,80,2,0.0,0,0
(b|(b|(bb))),77,77,2,0,0,0
(b|((a|ε)(a|ε))),110,110,2,0,0,0
(b|((a|ε)(b|ε))),110,110,2,0,0,0
(b|((a|ε)(a*))),80,80,2,1.0,1.0,1.0
(b|((a|ε)(b*))),96,96,2,0,0,0
(b|((b|ε)(a|ε))),80,80,2,0.0,0,0
(b|((b|ε)(b|ε))),77,77,2,0,0,0
(b|((b|ε)(a*))),80,80,2,1.0,1.0,1.0
(b|((b|ε)(b*))),73,73,2,1.0,1.0,1.0
(b|((a*)(a|ε))),80,80,2,1.0,1.0,1.0
(b|((a*)(b|ε))),87,87,2,0,0,0
(b|((a*)(a*))),76,76,2,0.3333333333333333,1.0,0.5
(b|((a*)(b*))),76,76,2,1.0,1.0,1.0
(b|((b*)(a|ε))),77,77,2,0.0,0,0
(b|((b*)(b|ε))),73,73,2,1.0,1.0,1.0
(b|((b*)(a*))),76,76,2,1.0,1.0,1.0
(b|((b*)(b*))),35,35,1,1.0,1.0,1.0
(b|((aa)*)),96,96,2,0,0,0
(b|((ab)*)),77,77,2,0,0.0,0
(b|((ba)*)),35,35,1,0.0,0,0
(b|((bb)*)),35,35,1,1.0,1.0,1.0
(((a|ε)a)|(a*)),35,35,1,1.0,1.0,1.0
(((a|ε)a)|(b*)),96,96,2,1.0,1.0,1.0
(((a|ε)b)|(a*)),35,35,1,1.0,1.0,1.0
(((a|ε)b)|(b*)),102,102,2,1.0,1.0,1.0
(((b|ε)a)|(a*)),107,107,2,1.0,1.0,1.0
(((b|ε)a)|(b*)),35,35,1,1.0,1.0,1.0
(((b|ε)b)|(a*)),103,103,2,1.0,1.0,1.0
(((b|ε)b)|(b*)),35,35,1,1.0,1.0,1.0
((a(a|ε))|(a*)),35,35,1,1.0,1.0,1.0
((a(a|ε))|(b*)),96,96,2,1.0,1.0,1.0
((a(b|ε))|(a*)),35,35,1,1.0,1.0,1.0
((a(b|ε))|(b*)),102,102,2,1.0,1.0,1.0
((a(a*))|(a*)),35,35,1,1.0,1.0,1.0
((a(a*))|(b*)),163,163,3,1.0,1.0,1.0
((a(b*))|(a*)),35,35,1,1.0,0.5,0.6666666666666666
((a(b*))|(b*)),76,76,2,1.0,1.0,1.0
((b(a|ε))|(a*)),107,107,2,1.0,1.0,1.0
((b(a|ε))|(b*)),35,35,1,1.0,1.0,1.0
((b(b|ε))|(a*)),103,103,2,1.0,1.0,1.0
((b(b|ε))|(b*)),35,35,1,1.0,1.0,1.0
((b(a*))|(a*)),76,76,2,1.0,1.0,1.0
((b(a*))|(b*)),35,35,1,1.0,0.3333333333333333,0.5
((b(b*))|(a*)),163,163,3,1.0,1.0,1.0
((b(b*))|(b*)),35,35,1,1.0,1.0,1.0
(((a*)a)|(a*)),35,35,1,1.0,1.0,1.0
(((a*)a)|(b*)),163,163,3,1.0,1.0,1.0
(((a*)b)|(a*)),76,76,2,1.0,1.0,1.0
(((a*)b)|(b*)),102,102,2,1.0,1.0,1.0
(((b*)a)|(a*)),107,107,2,1.0,1.0,1.0
(((b*)a)|(b*)),76,76,2,1.0,1.0,1.0
(((b*)b)|(a*)),163,163,3,1.0,1.0,1.0
(((b*)b)|(b*)),35,35,1,1.0,1.0,1.0
(((a|(a|a))*)|(a*)),35,35,1,1.0,1.0,1.0
(((a|(a|a))*)|(b*)),163,163,3,1.0,1.0,1.0
(((a|(a|b))*)|(a*)),33,33,1,1.0,1.0,1.0
(((a|(a|b))*)|(b*)),33,33,1,1.0,1.0,1.0
(((a|(b|a))*)|(a*)),33,33,1,1.0,1.0,1.0
(((a|(b|a))*)|(b*)),33,33,1,1.0,1.0,1.0
(((a|(b|b))*)|(a*)),33,33,1,1.0,1.0,1.0
(((a|(b|b))*)|(b*)),33,33,1,1.0,1.0,1.0
(((b|(a|a))*)|(a*)),33,33,1,1.0,1.0,1.0
(((b|(a|a))*)|(b*)),33,33,1,1.0,1.0,1.0
(((b|(a|b))*)|(a*)),33,33,1,1.0,1.0,1.0
(((b|(a|b))*)|(b*)),33,33,1,1.0,1.0,1.0
(((b|(b|a))*)|(a*)),33,33,1,1.0,1.0,1.0
(((b|(b|a))*)|(b*)),33,33,1,1.0,1.0,1.0
(((b|(b|b))*)|(a*)),163,163,3,1.0,1.0,1.0
(((b|(b|b))*)|(b*)),35,35,1,1.0,1.0,1.0
((((a*)|(a*))*)|(a*)),35,35,1,1.0,1.0,1.0
((((a*)|(a*))*)|(b*)),163,163,3,1.0,1.0,1.0
((((a*)|(b*))*)|(a*)),33,33,1,1.0,1.0,1.0
((((a*)|(b*))*)|(b*)),33,33,1,1.0,1.0,1.0
((((b*)|(a*))*)|(a*)),33,33,1,1.0,1.0,1.0
((((b*)|(a*))*)|(b*)),33,33,1,1.0,1.0,1.0
((((b*)|(b*))*)|(a*)),163,163,3,1.0,1.0,1.0
((((b*)|(b*))*)|(b*)),35,35,1,1.0,1.0,1.0
((a*)|((a|(a|a))*)),35,35,1,1.0,1.0,1.0
((a*)|((a|(a|b))*)),33,33,1,1.0,1.0,1.0
((a*)|((a|(b|a))*)),33,33,1,1.0,1.0,1.0
((a*)|((a|(b|b))*)),33,33,1,1.0,1.0,1.0
((a*)|((b|(a|a))*)),33,33,1,1.0,1.0,1.0
((a*)|((b|(a|b))*)),33,33,1,1.0,1.0,1.0
((a*)|((b|(b|a))*)),33,33,1,1.0,1.0,1.0
((a*)|((b|(b|b))*)),163,163,3,1.0,1.0,1.0
((a*)|(((a*)|(a*))*)),35,35,1,1.0,1.0,1.0
((a*)|(((a*)|(b*))*)),33,33,1,1.0,1.0,1.0
((a*)|(((b*)|(a*))*)),33,33,1,1.0,1.0,1.0
((a*)|(((b*)|(b*))*)),163,163,3,1.0,1.0,1.0
((a*)|(((a|ε)a)*)),35,35,1,1.0,1.0,1.0
((a*)|(((a|ε)b)*)),35,35,1,1.0,0.5,0.6666666666666666
((a*)|(((b|ε)a)*)),107,107,2,1.0,1.0,1.0
((a*)|(((b|ε)b)*)),198,198,3,1.0,1.0,1.0
((a*)|((a(a|ε))*)),35,35,1,1.0,1.0,1.0
((a*)|((a(b|ε))*)),35,35,1,1.0,0.5,0.6666666666666666
((a*)|((a(a*))*)),35,35,1,1.0,1.0,1.0
((a*)|((a(b*))*)),80,80,2,1.0,1.0,1.0
((a*)|((b(a|ε))*)),107,107,2,1.0,1.0,1.0
((a*)|((b(b|ε))*)),198,198,3,1.0,1.0,1.0
((a*)|((b(a*))*)),145,145,3,1.0,1.0,1.0
((a*)|((b(b*))*)),163,163,3,1.0,1.0,1.0
((a*)|(((a*)a)*)),35,35,1,1.0,1.0,1.0
((a*)|(((a*)b)*)),76,76,2,1.0,1.0,1.0
((a*)|(((b*)a)*)),35,35,1,1.0,1.0,1.0
((a*)|(((b*)b)*)),163,163,3,1.0,1.0,1.0
((b*)|((a|(a|a))*)),163,163,3,1.0,1.0,1.0
((b*)|((a|(a|b))*)),33,33,1,1.0,1.0,1.0
((b*)|((a|(b|a))*)),33,33,1,1.0,1.0,1.0
((b*)|((a|(b|b))*)),33,33,1,1.0,1.0,1.0
((b*)|((b|(a|a))*)),33,33,1,1.0,1.0,1.0
((b*)|((b|(a|b))*)),33,33,1,1.0,1.0,1.0
((b*)|((b|(b|a))*)),33,33,1,1.0,1.0,1.0
((b*)|((b|(b|b))*)),35,35,1,1.0,1.0,1.0
((b*)|(((a*)|(a*))*)),163,163,3,1.0,1.0,1.0
((b*)|(((a*)|(b*))*)),33,33,1,1.0,1.0,1.0
((b*)|(((b*)|(a*))*)),33,33,1,1.0,1.0,1.0
((b*)|(((b*)|(b*))*)),35,35,1,1.0,1.0,1.0
((b*)|(((a|ε)a)*)),96,96,2,1.0,1.0,1.0
((b*)|(((a|ε)b)*)),102,102,2,1.0,1.0,1.0
((b*)|(((b|ε)a)*)),35,35,1,1.0,1.0,1.0
((b*)|(((b|ε)b)*)),35,35,1,1.0,1.0,1.0
((b*)|((a(a|ε))*)),96,96,2,1.0,1.0,1.0
((b*)|((a(b|ε))*)),102,102,2,1.0,1.0,1.0
((b*)|((a(a*))*)),163,163,3,1.0,1.0,1.0
((b*)|((a(b*))*)),146,146,3,1.0,1.0,1.0
((b*)|((b(a|ε))*)),35,35,1,1.0,1.0,1.0
((b*)|((b(b|ε))*)),35,35,1,1.0,1.0,1.0
((b*)|((b(a*))*)),77,77,2,1.0,1.0,1.0
((b*)|((b(b*))*)),35,35,1,1.0,1.0,1.0
((b*)|(((a*)a)*)),163,163,3,1.0,1.0,1.0
((b*)|(((a*)b)*)),35,35,1,1.0,1.0,1.0
((b*)|(((b*)a)*)),73,73,2,1.0,1.0,1.0
((b*)|(((b*)b)*)),35,35,1,1.0,1.0,1.0
((((a|ε)a)*)|(a*)),35,35,1,1.0,1.0,1.0
((((a|ε)a)*)|(b*)),96,96,2,1.0,1.0,1.0
((((a|ε)b)*)|(a*)),35,35,1,1.0,0.5,0.6666666666666666
((((a|ε)b)*)|(b*)),102,102,2,1.0,1.0,1.0
((((b|ε)a)*)|(a*)),107,107,2,1.0,1.0,1.0
((((b|ε)a)*)|(b*)),35,35,1,1.0,1.0,1.0
((((b|ε)b)*)|(a*)),198,198,3,1.0,1.0,1.0
((((b|ε)b)*)|(b*)),35,35,1,1.0,1.0,1.0
(((a(a|ε))*)|(a*)),35,35,1,1.0,1.0,1.0
(((a(a|ε))*)|(b*)),96,96,2,1.0,1.0,1.0
(((a(b|ε))*)|(a*)),35,35,1,1.0,0.5,0.6666666666666666
(((a(b|ε))*)|(b*)),102,102,2,1.0,1.0,1.0
(((a(a*))*)|(a*)),35,35,1,1.0,1.0,1.0
(((a(a*))*)|(b*)),163,163,3,1.0,1.0,1.0
(((a(b*))*)|(a*)),80,80,2,1.0,1.0,1.0
(((a(b*))*)|(b*)),146,146,3,1.0,1.0,1.0
(((b(a|ε))*)|(a*)),107,107,2,1.0,1.0,1.0
(((b(a|ε))*)|(b*)),35,35,1,1.0,1.0,1.0
(((b(b|ε))*)|(a*)),198,198,3,1.0,1.0,1.0
(((b(b|ε))*)|(b*)),35,35,1,1.0,1.0,1.0
(((b(a*))*)|(a*)),145,145,3,1.0,1.0,1.0
(((b(a*))*)|(b*)),77,77,2,1.0,1.0,1.0
(((b(b*))*)|(a*)),163,163,3,1.0,1.0,1.0
(((b(b*))*)|(b*)),35,35,1,1.0,1.0,1.0
((((a*)a)*)|(a*)),35,35,1,1.0,1.0,1.0
((((a*)a)*)|(b*)),163,163,3,1.0,1.0,1.0
((((a*)b)*)|(a*)),76,76,2,1.0,1.0,1.0
((((a*)b)*)|(b*)),35,35,1,1.0,1.0,1.0
((((b*)a)*)|(a*)),35,35,1,1.0,1.0,1.0
((((b*)a)*)|(b*)),73,73,2,1.0,1.0,1.0
((((b*)b)*)|(a*)),163,163,3,1.0,1.0,1.0
((((b*)b)*)|(b*)),35,35,1,1.0,1.0,1.0
(((a|(a|a))|ε)a),33,33,1,0,0,0
(((a|(a|a))|ε)b),33,33,1,0,0,0
(((a|(a|b))|ε)a),33,33,1,0,0,0
(((a|(a|b))|ε)b),33,33,1,0,0,0
(((a|(b|a))|ε)a),33,33,1,0,0,0
(((a|(b|a))|ε)b),33,33,1,0,0,0
(((a|(b|b))|ε)a),33,33,1,0,0,0
(((a|(b|b))|ε)b),33,33,1,0,0,0
(((b|(a|a))|ε)a),33,33,1,0,0,0
(((b|(a|a))|ε)b),33,33,1,0,0,0
(((b|(a|b))|ε)a),33,33,1,0,0,0
(((b|(a|b))|ε)b),33,33,1,0,0,0
(((b|(b|a))|ε)a),33,33,1,0,0,0
(((b|(b|a))|ε)b),33,33,1,0,0,0
(((b|(b|b))|ε)a),33,33,1,0,0,0
(((b|(b|b))|ε)b),33,33,1,0,0,0
((((a*)|(a*))|ε)a),76,76,2,1.0,1.0,1.0
((((a*)|(a*))|ε)b),87,87,2,0,0,0
((((a*)|(b*))|ε)a),163,163,3,1.0,1.0,1.0
((((a*)|(b*))|ε)b),167,167,3,1.0,1.0,1.0
((((b*)|(a*))|ε)a),163,163,3,1.0,1.0,1.0
((((b*)|(a*))|ε)b),167,167,3,1.0,1.0,1.0
((((b*)|(b*))|ε)a),76,76,2,0,0,0
((((b*)|(b*))|ε)b),73,73,2,1.0,1.0,1.0
((a|ε)((aa)|ε)),33,33,1,0,0.0,0
((a|ε)((ab)|ε)),33,33,1,0,0,0
((a|ε)((ba)|ε)),33,33,1,0,0,0
((a|ε)((bb)|ε)),33,33,1,0,0,0
((a|ε)(a|(a|a))),33,33,1,0,0,0
((a|ε)(a|(a|b))),33,33,1,0,0,0
((a|ε)(a|(b|a))),33,33,1,0,0,0
((a|ε)(a|(b|b))),33,33,1,0,0,0
((a|ε)(b|(a|a))),33,33,1,0,0,0
((a|ε)(b|(a|b))),33,33,1,0,0,0
((a|ε)(b|(b|a))),33,33,1,0,0,0
((a|ε)(b|(b|b))),33,33,1,0,0,0
((a|ε)((a*)|(a*))),76,76,2,1.0,1.0,1.0
((a|ε)((a*)|(b*))),167,167,3,1.0,1.0,1.0
((a|ε)((b*)|(a*))),167,167,3,1.0,1.0,1.0
((a|ε)((b*)|(b*))),76,76,2,0,0,0
((a|ε)((aa)*)),76,76,2,1.0,1.0,1.0
((a|ε)((ab)*)),76,76,2,0,0,0
((a|ε)((ba)*)),76,76,2,0,0,0
((a|ε)((bb)*)),95,95,2,0,0,0
((b|ε)((aa)|ε)),33,33,1,0,0,0
((b|ε)((ab)|ε)),33,33,1,0,0,0
((b|ε)((ba)|ε)),33,33,1,0,0,0
((b|ε)((bb)|ε)),33,33,1,0,0,0
((b|ε)(a|(a|a))),33,33,1,0,0,0
((b|ε)(a|(a|b))),33,33,1,0,0,0
((b|ε)(a|(b|a))),33,33,1,0,0,0
((b|ε)(a|(b|b))),33,33,1,0,0,0
((b|ε)(b|(a|a))),33,33,1,0,0,0
((b|ε)(b|(a|b))),33,33,1,0,0,0
((b|ε)(b|(b|a))),33,33,1,0,0,0
((b|ε)(b|(b|b))),33,33,1,0,0,0
((b|ε)((a*)|(a*))),80,80,2,1.0,1.0,1.0
((b|ε)((a*)|(b*))),169,169,3,1.0,1.0,1.0
((b|ε)((b*)|(a*))),169,169,3,1.0,1.0,1.0
((b|ε)((b*)|(b*))),73,73,2,1.0,1.0,1.0
((b|ε)((aa)*)),87,87,2,0,0.0,0
((b|ε)((ab)*)),87,87,2,0,0,0
((b|ε)((ba)*)),87,87,2,0,0,0
((b|ε)((bb)*)),87,87,2,1.0,1.0,1.0
((((a|ε)a)|ε)a),33,33,1,0,0.0,0
((((a|ε)a)|ε)b),33,33,1,0,0,0
((((a|ε)b)|ε)a),33,33,1,0,0,0
((((a|ε)b)|ε)b),33,33,1,0,0,0
((((b|ε)a)|ε)a),33,33,1,0,0,0
((((b|ε)a)|ε)b),33,33,1,0,0,0
((((b|ε)b)|ε)a),33,33,1,0,0,0
((((b|ε)b)|ε)b),33,33,1,0,0,0
(((a(a|ε))|ε)a),33,33,1,0,0.0,0
(((a(a|ε))|ε)b),33,33,1,0,0,0
(((a(b|ε))|ε)a),33,33,1,0,0,0
(((a(b|ε))|ε)b),33,33,1,0,0,0
(((aa)|ε)(a|ε)),33,33,1,0,0.0,0
(((aa)|ε)(b|ε)),33,33,1,0,0,0
(((aa)|ε)(a*)),33,33,1,0,0.0,0
(((aa)|ε)(b*)),33,33,1,0,0,0
(((ab)|ε)(a|ε)),33,33,1,0,0,0
(((ab)|ε)(b|ε)),33,33,1,0,0,0
(((ab)|ε)(a*)),33,33,1,0,0,0
(((ab)|ε)(b*)),33,33,1,0,0.0,0
(((a(a*))|ε)a),33,33,1,0,0.0,0
(((a(a*))|ε)b),33,33,1,0,0,0
(((a(b*))|ε)a),33,33,1,0,0.0,0
(((a(b*))|ε)b),33,33,1,0,0.0,0
(((b(a|ε))|ε)a),33,33,1,0,0,0
(((b(a|ε))|ε)b),33,33,1,0,0,0
(((b(b|ε))|ε)a),33,33,1,0,0,0
(((b(b|ε))|ε)b),33,33,1,0,0,0
(((ba)|ε)(a|ε)),33,33,1,0,0,0
(((ba)|ε)(b|ε)),33,33,1,0,0,0
(((ba)|ε)(a*)),33,33,1,0,0.0,0
(((ba)|ε)(b*)),33,33,1,0,0,0
(((bb)|ε)(a|ε)),33,33,1,0,0,0
(((bb)|ε)(b|ε)),33,33,1,0,0,0
(((bb)|ε)(a*)),33,33,1,0,0,0
(((bb)|ε)(b*)),33,33,1,0,0.0,0
(((b(a*))|ε)a),33,33,1,0,0.0,0
(((b(a*))|ε)b),33,33,1,0,0.0,0
(((b(b*))|ε)a),33,33,1,0,0,0
(((b(b*))|ε)b),33,33,1,0,0.0,0
((((a*)a)|ε)a),33,33,1,0,0.0,0
((((a*)a)|ε)b),33,33,1,0,0,0
((((a*)b)|ε)a),33,33,1,0,0.0,0
((((a*)b)|ε)b),33,33,1,0,0,0
((((b*)a)|ε)a),147,147,3,1.0,1.0,1.0
((((b*)a)|ε)b),33,33,1,0,0,0
((((b*)b)|ε)a),33,33,1,0,0,0
((((b*)b)|ε)b),33,33,1,0,0.0,0
((a|a)(a|a)),33,33,1,0,0,0
((a|a)(a|b)),33,33,1,0,0,0
((a|a)(b|a)),33,33,1,0,0,0
((a|a)(b|b)),33,33,1,0,0,0
((a|b)(a|a)),33,33,1,0,0,0
((a|b)(a|b)),33,33,1,0,0,0
((a|b)(b|a)),33,33,1,0,0,0
((a|b)(b|b)),33,33,1,0,0,0
((a|(a|a))(a|ε)),33,33,1,0,0,0
((a|(a|a))(b|ε)),33,33,1,0,0,0
((a|(a|a))(a*)),76,76,2,1.0,1.0,1.0
((a|(a|a))(b*)),76,76,2,0,0,0
((a|(a|b))(a|ε)),33,33,1,0,0,0
((a|(a|b))(b|ε)),33,33,1,0,0,0
((a|(a|b))(a*)),76,76,2,1.0,1.0,1.0
((a|(a|b))(b*)),77,77,2,1.0,1.0,1.0
((a|(b|a))(a|ε)),33,33,1,0,0,0
((a|(b|a))(b|ε)),33,33,1,0,0,0
((a|(b|a))(a*)),76,76,2,1.0,1.0,1.0
((a|(b|a))(b*)),77,77,2,1.0,1.0,1.0
((a|(b|b))(a|ε)),33,33,1,0,0,0
((a|(b|b))(b|ε)),33,33,1,0,0,0
((a|(b|b))(a*)),76,76,2,1.0,1.0,1.0
((a|(b|b))(b*)),77,77,2,1.0,1.0,1.0
((a|(a*))a),76,76,2,1.0,1.0,1.0
((a|(a*))b),87,87,2,0,0,0
((a|(b*))a),169,169,3,0,0,0
((a|(b*))b),173,173,3,1.0,1.0,1.0
((b|a)(a|a)),33,33,1,0,0,0
((b|a)(a|b)),33,33,1,0,0,0
((b|a)(b|a)),33,33,1,0,0,0
((b|a)(b|b)),33,33,1,0,0,0
((b|b)(a|a)),33,33,1,0,0,0
((b|b)(a|b)),33,33,1,0,0,0
((b|b)(b|a)),33,33,1,0,0,0
((b|b)(b|b)),33,33,1,0,0,0
((b|(a|a))(a|ε)),33,33,1,0,0,0
((b|(a|a))(b|ε)),33,33,1,0,0,0
((b|(a|a))(a*)),76,76,2,1.0,1.0,1.0
((b|(a|a))(b*)),77,77,2,1.0,1.0,1.0
((b|(a|b))(a|ε)),33,33,1,0,0,0
((b|(a|b))(b|ε)),33,33,1,0,0,0
((b|(a|b))(a*)),76,76,2,1.0,1.0,1.0
((b|(a|b))(b*)),77,77,2,1.0,1.0,1.0
((b|(b|a))(a|ε)),33,33,1,0,0,0
((b|(b|a))(b|ε)),33,33,1,0,0,0
((b|(b|a))(a*)),76,76,2,1.0,1.0,1.0
((b|(b|a))(b*)),77,77,2,1.0,1.0,1.0
((b|(b|b))(a|ε)),33,33,1,0,0,0
((b|(b|b))(b|ε)),33,33,1,0,0,0
((b|(b|b))(a*)),80,80,2,1.0,1.0,1.0
((b|(b|b))(b*)),73,73,2,1.0,1.0,1.0
((b|(a*))a),169,169,3,1.0,1.0,1.0
((b|(a*))b),77,77,2,0,0,0
((b|(b*))a),76,76,2,0,0,0
((b|(b*))b),73,73,2,1.0,1.0,1.0
(((a*)|(a*))(a|ε)),76,76,2,1.0,1.0,1.0
(((a*)|(a*))(b|ε)),87,87,2,0,0,0
(((a*)|(a*))(a*)),35,35,1,1.0,1.0,1.0
(((a*)|(a*))(b*)),76,76,2,1.0,1.0,1.0
(((a*)|(b*))(a|ε)),163,163,3,1.0,1.0,1.0
(((a*)|(b*))(b|ε)),167,167,3,1.0,1.0,1.0
(((a*)|(b*))(a*)),76,76,2,1.0,1.0,1.0
(((a*)|(b*))(b*)),76,76,2,1.0,1.0,1.0
(((b*)|(a*))(a|ε)),163,163,3,1.0,1.0,1.0
(((b*)|(a*))(b|ε)),167,167,3,1.0,1.0,1.0
(((b*)|(a*))(a*)),76,76,2,1.0,1.0,1.0
